ASCII Trace IXXAT MiniMon V3  Version: 1.1.4.4543;;;;
Date: 15.06.2022;;;;
Start time: 13:15:12;;;;
Stop time: 13:15:46;;;;
Overruns: 0  Errorframes: 0                                          ;;;;
Baudrate: 250 kbit/s;;;;
Time;Identifier (hex);Format;Flags;Data (hex)
00:15:27.173;189;Std;;00 00 00 00 00 00 00 00
00:15:27.173;184;Std;;00 00 00 00 00 07 0F 01
00:15:27.175;289;Std;;00 00 00 00 C4 00 C1 00
00:15:27.175;708;Std;;5
00:15:27.175;188;Std;;00 02 00 00 00 02 01 54
00:15:27.177;389;Std;;01 00 01 00 4F 50 00 00
00:15:27.179;489;Std;;00 00 FB FF 00 00 22 01
00:15:27.181;18A;Std;;D9 00 A8 00 D7 00 03 00
00:15:27.183;284;Std;;31 02 E0 27 4A 20 11 00
00:15:27.183;28A;Std;;07 00 01 00 00 00 00 00
00:15:27.186;38A;Std;;00 00 00 00 00 00 00 00
00:15:27.188;48A;Std;;00 00 00 00 00 40 00 00
00:15:27.193;384;Std;;AD 02 F8 01 F5 01 F7 01
00:15:27.196;2AE;Std;;00 00 00 00 00 00 00 00
00:15:27.197;3AE;Std;;00 00 00 00 00 00 00 00
00:15:27.202;484;Std;;00 00 00 00 00 00 00 00
00:15:27.209;42E;Std;;11 00 00 00 C0 78 00 0B
00:15:27.211;1AD;Std;;0C 00 01 01 05 01 01 00
00:15:27.212;185;Std;;FD B3 49 F0 01 03 BB 33
00:15:27.214;24B;Std;;00 00 00 00 00 00 00 00
00:15:27.214;24A;Std;;00 00 00 00 00 00 00 00
00:15:27.215;24C;Std;;00 00 00 00 00 00 00 00
00:15:27.222;285;Std;;01 00 90 42 81 00 00 01
00:15:27.231;2AD;Std;;00 00 00 00 00 00 00 00
00:15:27.232;3AD;Std;;00 00 00 00 00 00 00 00
00:15:27.232;385;Std;;00 00 00 00 00 00 00 00
00:15:27.242;485;Std;;FA 01 FA 01 CE 02 00 00
00:15:27.243;182;Std;;00 00 00 00 00 00 00 00
00:15:27.244;80;Std;;
00:15:27.245;18B;Std;;01 00 00 00
00:15:27.246;282;Std;;00 00 00 00 DC 00 D8 00
00:15:27.246;28B;Std;;21 00 F6 FF 17 00 5D 00
00:15:27.247;29B;Std;;C0 FF C0 FF C0 FF C0 FF
00:15:27.247;1FB;Std;;00 00 05 05 05 05 05 05
00:15:27.248;382;Std;;01 00 01 00 4F 50 00 00
00:15:27.250;482;Std;;00 00 FD FF 00 00 18 01
00:15:27.250;72D;Std;;5
00:15:27.251;18F;Std;;00 20 05 00
00:15:27.251;28F;Std;;FF 1F 83 00 00 00
00:15:27.252;4AD;Std;;20 00 00 00 00 00 00 00
