ASCII Trace IXXAT MiniMon V3  Version: 1.1.4.4543
Date: 15.06.2022
Start time: 13:46:20
Stop time: 13:46:35
Overruns: 0  Errorframes: 0                                          
Baudrate: 250 kbit/s
"Time";"Identifier (hex)";"Format";"Flags";"Data (hex)"
"00:46:35.054";"282";"Std";"";"00 00 00 00 DC 00 D8 00"
"00:46:35.055";"188";"Std";"";"00 02 00 00 00 02 01 5A"
"00:46:35.056";"22E";"Std";"";"00 00 00 00 00 07 07 00"
"00:46:35.056";"1AD";"Std";"";"0C 00 01 01 05 01 01 00"
"00:46:35.057";"1AE";"Std";"";"00 00 00 00 00"
"00:46:35.057";"2AE";"Std";"";"00 00 00 00 00 00 00 00"
"00:46:35.058";"382";"Std";"";"01 00 01 00 4F 50 00 00"
"00:46:35.058";"3AE";"Std";"";"00 00 00 00 00 00 00 00"
"00:46:35.059";"42E";"Std";"";"11 00 00 00 C0 A0 00 0B"
"00:46:35.059";"482";"Std";"";"00 00 FC FF 00 00 1C 01"
"00:46:35.060";"24B";"Std";"";"00 00 00 00 00 00 00 00"
"00:46:35.061";"24A";"Std";"";"00 00 00 00 00 00 00 00"
"00:46:35.061";"183";"Std";"";"E7 00 BA 00 FC 00 03 00"
"00:46:35.062";"24C";"Std";"";"00 00 00 00 00 00 00 00"
"00:46:35.063";"283";"Std";"";"01 00 05 00 00 00 00 00"
"00:46:35.065";"383";"Std";"";"00 00 00 00 00 00 00 00"
"00:46:35.067";"483";"Std";"";"00 00 00 00 00 40 00 00"
"00:46:35.085";"709";"Std";"";"05"
"00:46:35.088";"189";"Std";"";"00 00 00 00 00 00 00 00"
"00:46:35.090";"289";"Std";"";"00 00 00 00 C4 00 C1 00"
"00:46:35.092";"389";"Std";"";"01 00 01 00 4F 50 00 00"
"00:46:35.094";"489";"Std";"";"00 00 FB FF 00 00 25 01"
"00:46:35.096";"18A";"Std";"";"D9 00 A9 00 D6 00 03 00"
"00:46:35.097";"80";"Std";"";""
"00:46:35.097";"2AF";"Std";"";"00 00 00 00 00 00 00 00"
"00:46:35.099";"28A";"Std";"";"07 00 01 00 00 00 00 00"
"00:46:35.099";"18B";"Std";"";"01 00 00 00"
"00:46:35.100";"28B";"Std";"";"21 00 F6 FF 15 00 5A 00"
"00:46:35.100";"29B";"Std";"";"C0 FF C0 FF BD FF BD FF"
"00:46:35.101";"1FB";"Std";"";"00 00 05 05 05 05 05 05"
"00:46:35.101";"38A";"Std";"";"00 00 00 00 00 00 00 00"
"00:46:35.103";"48A";"Std";"";"00 00 00 00 00 00 00 00"
"00:46:35.106";"202";"Std";"";"00 00 00 00 D4 30 D4 30"
"00:46:35.107";"302";"Std";"";"00 00 4F 08 F4 01 00 00"
"00:46:35.107";"402";"Std";"";"00 00 00 00 00 00 00 00"
"00:46:35.108";"209";"Std";"";"00 00 00 00 D4 30 D4 30"
"00:46:35.108";"309";"Std";"";"00 00 4F 08 2C 01 00 00"
"00:46:35.109";"409";"Std";"";"00 00 00 00 00 00 00 00"
"00:46:35.109";"20F";"Std";"";"00 04 04 04 01 00"
"00:46:35.110";"20B";"Std";"";"81 00 00 00"
"00:46:35.117";"1AF";"Std";"";"00 00 00 00 00 00 00 00"
