ASCII Trace IXXAT MiniMon V3  Version: 1.1.4.4543;;;;;
Date: 15.06.2022;;;;;
Start time: 13:05:12;;;;;
Stop time: 13:05:48;;;;;
Overruns: 0  Errorframes: 0                                          ;;;;;
Baudrate: 250 kbit/s;;;;;
Time;Identifier (hex);Format;Flags;Data (hex);
00:05:26.875;712;Std;;5;
00:05:26.876;483;Std;;00 00 00 00 00 40 00 00;
00:05:26.876;70F;Std;;5;
00:05:26.877;2AF;Std;;00 00 00 00 00 00 00 00;
00:05:26.877;3AF;Std;;00 00 00 00 00 00 00 00;
00:05:26.878;287;Std;;00 00 00 00 00 00 00 00;
00:05:26.880;702;Std;;5;
00:05:26.897;80;Std;;;
00:05:26.898;184;Std;;00 00 00 00 00 07 0F 01;
00:05:26.900;189;Std;;00 00 00 00 00 00 00 00;
00:05:26.901;18B;Std;;01 00 00 00;
00:05:26.901;28B;Std;;1F 00 F6 FF 15 00 5A 00;
00:05:26.902;29B;Std;;C0 FF BD FF C0 FF C0 FF;
00:05:26.902;1FB;Std;;00 00 05 05 05 05 05 05;
00:05:26.903;289;Std;;00 00 00 00 C4 00 C1 00;
00:05:26.905;389;Std;;01 00 01 00 4F 50 00 00;
00:05:26.907;489;Std;;00 00 FA FF 00 00 22 01;
00:05:26.908;202;Std;;00 00 00 00 D4 30 D4 30;
00:05:26.908;302;Std;;00 00 CF 08 F4 01 00 00;
00:05:26.909;284;Std;;31 02 E0 27 4A 20 11 00;
00:05:26.909;402;Std;;00 00 00 00 00 00 00 00;
00:05:26.909;18A;Std;;D9 00 A7 00 D7 00 03 00;
00:05:26.910;209;Std;;00 00 00 00 D4 30 D4 30;
00:05:26.910;309;Std;;00 00 CF 08 2C 01 00 00;
00:05:26.911;409;Std;;00 00 00 00 00 00 00 00;
00:05:26.912;28A;Std;;07 00 01 00 00 00 00 00;
00:05:26.912;204;Std;;00 00 00 00 00 00 00 00;
00:05:26.913;304;Std;;00 00 00 00 00 00 00 00;
00:05:26.913;20F;Std;;00 04 04 04 01 00;
00:05:26.914;38A;Std;;00 00 00 00 00 00 00 00;
00:05:26.914;20B;Std;;81 00 00 00;
00:05:26.914;22E;Std;;00 00 FF FF 00 07 07 00;
00:05:26.916;48A;Std;;00 00 00 00 00 00 00 00;
00:05:26.917;4AE;Std;;00 00 00 00 00 00 00 00;
00:05:26.917;1AF;Std;;00 00 00 00 00 00 00 00;
00:05:26.918;384;Std;;C5 02 F8 01 F5 01 F7 01;
00:05:26.928;484;Std;;00 00 00 00 00 00 00 00;
00:05:26.936;1AD;Std;;0C 00 01 01 05 01 01 00;
00:05:26.936;2AD;Std;;00 00 00 00 00 00 00 00;
00:05:26.937;3AD;Std;;00 00 00 00 00 00 00 00;
00:05:26.937;4AD;Std;;20 00 00 00 00 00 00 00;
00:05:26.938;185;Std;;FD B3 49 F0 01 03 BB 33;
