ASCII Trace IXXAT MiniMon V3  Version: 1.1.4.4543
Date: 15.06.2022
Start time: 13:51:01
Stop time: 13:51:09
Overruns: 0  Errorframes: 0                                          
Baudrate: 250 kbit/s
"Time";"Identifier (hex)";"Format";"Flags";"Data (hex)"
"00:51:15.779";"1AF";"Std";"";"00 00 00 00 00 00 00 00"
"00:51:15.780";"482";"Std";"";"00 00 FC FF 00 00 1C 01"
"00:51:15.781";"42E";"Std";"";"11 00 00 00 C0 78 00 06"
"00:51:15.782";"183";"Std";"";"E7 00 BA 00 FB 00 03 00"
"00:51:15.783";"384";"Std";"";"14 00 00 00 DF 01 E1 01"
"00:51:15.784";"283";"Std";"";"01 00 05 00 00 00 00 00"
"00:51:15.786";"24B";"Std";"";"00 00 00 00 00 00 00 00"
"00:51:15.786";"383";"Std";"";"00 00 00 00 00 00 00 00"
"00:51:15.787";"24A";"Std";"";"00 00 00 00 00 00 00 00"
"00:51:15.787";"24C";"Std";"";"00 00 00 00 00 00 00 00"
"00:51:15.788";"483";"Std";"";"00 00 00 00 00 00 00 00"
"00:51:15.791";"286";"Std";"";"7B 96 7A 7B 00 00 0C 00"
"00:51:15.791";"186";"Std";"";"04 00 40 01 29 00 01 00"
"00:51:15.793";"484";"Std";"";"11 01 10 01 0F 01 0D 01"
"00:51:15.795";"4AD";"Std";"";"20 00 00 00 00 00 00 00"
"00:51:15.795";"1AE";"Std";"";"00 00 00 00 00"
"00:51:15.796";"2AE";"Std";"";"00 00 00 00 00 00 00 00"
"00:51:15.796";"3AE";"Std";"";"00 00 00 00 00 00 00 00"
"00:51:15.803";"185";"Std";"";"DD B3 49 00 00 03 83 33"
"00:51:15.806";"392";"Std";"";"00 01 82 34 15 15 16 07"
"00:51:15.808";"189";"Std";"";"00 00 00 00 00 00 00 00"
"00:51:15.811";"289";"Std";"";"00 00 00 00 C4 00 C1 00"
"00:51:15.813";"389";"Std";"";"01 00 01 00 4F 50 00 00"
"00:51:15.813";"285";"Std";"";"03 03 90 42 81 00 00 01"
"00:51:15.814";"2AD";"Std";"";"00 00 00 00 00 00 00 00"
"00:51:15.814";"4AE";"Std";"";"00 00 00 00 00 00 00 00"
"00:51:15.815";"489";"Std";"";"00 00 FB FF 00 00 25 01"
"00:51:15.817";"18A";"Std";"";"D9 00 A9 00 D5 00 03 00"
"00:51:15.819";"28A";"Std";"";"07 00 01 00 00 00 00 00"
"00:51:15.822";"38A";"Std";"";"00 00 00 00 00 00 00 00"
"00:51:15.822";"80";"Std";"";""
"00:51:15.823";"385";"Std";"";"00 00 00 00 00 00 00 00"
"00:51:15.824";"18B";"Std";"";"01 00 00 00"
"00:51:15.824";"28B";"Std";"";"21 00 F6 FF 12 00 5A 00"
"00:51:15.825";"29B";"Std";"";"C0 FF C0 FF BD FF BD FF"
"00:51:15.825";"1FB";"Std";"";"00 00 05 05 05 05 05 05"
"00:51:15.826";"48A";"Std";"";"00 00 00 00 00 40 00 00"
"00:51:15.829";"18F";"Std";"";"00 20 05 00"
"00:51:15.832";"202";"Std";"";"00 00 00 00 D4 30 D4 30"
"00:51:15.833";"302";"Std";"";"00 00 4F 08 F4 01 00 00"
"00:51:15.833";"485";"Std";"";"FA 01 FA 01 7E 02 00 00"
"00:51:15.834";"402";"Std";"";"00 00 00 00 00 00 00 00"
"00:51:15.834";"209";"Std";"";"00 00 00 00 D4 30 D4 30"
"00:51:15.835";"309";"Std";"";"00 00 4F 08 2C 01 00 00"
"00:51:15.835";"409";"Std";"";"00 00 00 00 00 00 00 00"
"00:51:15.836";"204";"Std";"";"00 00 00 00 00 00 00 00"
"00:51:15.837";"304";"Std";"";"00 00 00 00 00 00 00 00"
"00:51:15.837";"20F";"Std";"";"00 04 04 04 01 00"
"00:51:15.837";"20B";"Std";"";"81 00 00 00"
"00:51:15.841";"486";"Std";"";"38 00 00 00 A0 0A 00 00"
"00:51:15.841";"386";"Std";"";"0A 19 00 AA 80 02 80 02"
"00:51:15.849";"70F";"Std";"";"05"
"00:51:15.853";"188";"Std";"";"00 02 00 00 00 02 01 48"
"00:51:15.853";"704";"Std";"";"05"
"00:51:15.854";"1AD";"Std";"";"0C 00 01 01 05 01 01 00"
"00:51:15.855";"2AF";"Std";"";"00 00 00 00 00 00 00 00"
"00:51:15.855";"3AF";"Std";"";"00 00 00 00 00 00 00 00"
"00:51:15.864";"184";"Std";"";"00 00 00 00 00 00 0F 01"
"00:51:15.874";"284";"Std";"";"31 02 E0 27 4A 20 11 00"
"00:51:15.878";"3AD";"Std";"";"00 00 00 00 00 00 00 00"
"00:51:15.881";"42E";"Std";"";"11 00 00 00 C0 78 00 07"
"00:51:15.881";"52E";"Std";"";"30 D4 30 D4 30 D4 30 D4"
"00:51:15.883";"182";"Std";"";"00 00 00 00 00 00 00 00"
"00:51:15.884";"384";"Std";"";"14 00 00 00 DE 01 E0 01"
"00:51:15.885";"282";"Std";"";"00 00 00 00 DC 00 D8 00"
"00:51:15.887";"24B";"Std";"";"00 00 00 00 00 00 00 00"
"00:51:15.888";"382";"Std";"";"01 00 01 00 4F 50 00 00"
"00:51:15.888";"24A";"Std";"";"00 00 00 00 00 00 00 00"
"00:51:15.889";"24C";"Std";"";"00 00 00 00 00 00 00 00"
"00:51:15.890";"482";"Std";"";"00 00 FD FF 00 00 1C 01"
"00:51:15.891";"286";"Std";"";"7B 96 7A 7B 00 00 0C 00"
"00:51:15.891";"186";"Std";"";"04 00 42 01 2B 00 01 00"
"00:51:15.892";"183";"Std";"";"E7 00 BA 00 FB 00 03 00"
"00:51:15.893";"484";"Std";"";"11 01 10 01 0F 01 0D 01"
"00:51:15.894";"283";"Std";"";"02 00 05 00 00 00 00 00"
"00:51:15.895";"4AD";"Std";"";"20 00 00 00 00 00 00 00"
"00:51:15.895";"1AE";"Std";"";"00 00 00 00 00"
"00:51:15.896";"2AE";"Std";"";"00 00 00 00 00 00 00 00"
"00:51:15.896";"3AE";"Std";"";"00 00 00 00 00 00 00 00"
"00:51:15.897";"1AF";"Std";"";"00 00 00 00 00 00 00 00"
"00:51:15.897";"383";"Std";"";"00 00 00 00 00 00 00 00"
"00:51:15.898";"483";"Std";"";"00 00 00 00 00 40 00 00"
"00:51:15.899";"194";"Std";"";"01 00 27 01 26 01 38 01"
"00:51:15.900";"494";"Std";"";"38 01 49 01 10 01 12 01"
"00:51:15.900";"394";"Std";"";"03 00 02 00 08 00 00 00"
"00:51:15.901";"294";"Std";"";"00 00 01 00 00 00 00 00"
"00:51:15.903";"185";"Std";"";"DD B3 49 00 00 03 83 33"
"00:51:15.913";"285";"Std";"";"03 03 90 42 81 00 00 01"
"00:51:15.914";"2AD";"Std";"";"00 00 00 00 00 00 00 00"
"00:51:15.915";"4AE";"Std";"";"00 00 00 00 00 00 00 00"
"00:51:15.916";"709";"Std";"";"05"
"00:51:15.918";"189";"Std";"";"00 00 00 00 00 00 00 00"
"00:51:15.921";"289";"Std";"";"00 00 00 00 C4 00 C1 00"
"00:51:15.921";"80";"Std";"";""
"00:51:15.923";"18B";"Std";"";"01 00 00 00"
"00:51:15.923";"28B";"Std";"";"1F 00 F6 FF 15 00 58 00"
"00:51:15.923";"29B";"Std";"";"C0 FF C0 FF C0 FF BD FF"
"00:51:15.924";"1FB";"Std";"";"00 00 05 05 05 05 05 05"
"00:51:15.924";"385";"Std";"";"00 00 00 00 00 00 00 00"
"00:51:15.925";"389";"Std";"";"01 00 01 00 4F 50 00 00"
"00:51:15.925";"489";"Std";"";"00 00 FA FF 00 00 25 01"
"00:51:15.927";"18A";"Std";"";"D9 00 A9 00 D5 00 03 00"
"00:51:15.929";"18F";"Std";"";"00 20 05 00"
"00:51:15.929";"28A";"Std";"";"07 00 01 00 00 00 00 00"
"00:51:15.930";"48F";"Std";"";"01 00 00 00 00 00"
"00:51:15.931";"202";"Std";"";"00 00 00 00 D4 30 D4 30"
"00:51:15.932";"38A";"Std";"";"00 00 00 00 00 00 00 00"
"00:51:15.932";"302";"Std";"";"00 00 4F 18 F4 01 00 00"
"00:51:15.933";"402";"Std";"";"00 00 00 00 00 00 00 00"
"00:51:15.933";"485";"Std";"";"FA 01 FA 01 7E 02 00 00"
"00:51:15.934";"209";"Std";"";"00 00 00 00 D4 30 D4 30"
"00:51:15.934";"48A";"Std";"";"00 00 00 00 00 00 00 00"
"00:51:15.935";"309";"Std";"";"00 00 4F 18 2C 01 00 00"
"00:51:15.935";"409";"Std";"";"00 00 00 00 00 00 00 00"
"00:51:15.936";"204";"Std";"";"00 00 00 00 00 00 00 00"
"00:51:15.937";"304";"Std";"";"00 00 00 00 00 00 00 00"
"00:51:15.937";"20F";"Std";"";"00 04 04 04 01 00"
"00:51:15.937";"30F";"Std";"";"74 C5 F8 02 DD 36"
"00:51:15.938";"20B";"Std";"";"81 00 00 00"
"00:51:15.940";"486";"Std";"";"38 00 00 00 A0 0A 00 00"
"00:51:15.941";"386";"Std";"";"0A 19 00 AA 80 02 80 02"
"00:51:15.953";"188";"Std";"";"00 02 00 00 00 02 01 49"
"00:51:15.954";"1AD";"Std";"";"0C 00 01 01 05 01 01 00"
"00:51:15.955";"2AF";"Std";"";"00 00 00 00 00 00 00 00"
"00:51:15.955";"3AF";"Std";"";"00 00 00 00 00 00 00 00"
"00:51:15.964";"184";"Std";"";"00 00 00 00 00 00 0F 01"
"00:51:15.974";"284";"Std";"";"31 02 E0 27 4A 20 11 00"
"00:51:15.978";"3AD";"Std";"";"00 00 00 00 00 00 00 00"
"00:51:15.982";"42E";"Std";"";"11 00 00 00 C0 78 00 08"
"00:51:15.983";"52E";"Std";"";"05 00 01 08 01 24 00 00"
"00:51:15.984";"384";"Std";"";"14 00 00 00 DF 01 E1 01"
"00:51:15.987";"24B";"Std";"";"00 00 00 00 00 00 00 00"
"00:51:15.988";"24A";"Std";"";"00 00 00 00 00 00 00 00"
"00:51:15.988";"24C";"Std";"";"00 00 00 00 00 00 00 00"
"00:51:15.990";"286";"Std";"";"7B 96 7A 7B 00 00 0C 00"
"00:51:15.991";"186";"Std";"";"04 00 42 01 2B 00 01 00"
"00:51:15.991";"702";"Std";"";"05"
"00:51:15.993";"182";"Std";"";"00 00 00 00 00 00 00 00"
"00:51:15.993";"484";"Std";"";"11 01 10 01 0F 01 0D 01"
"00:51:15.994";"4AD";"Std";"";"20 00 00 00 00 00 00 00"
"00:51:15.995";"3AE";"Std";"";"00 00 00 00 00 00 00 00"
"00:51:15.995";"1AF";"Std";"";"00 00 00 00 00 00 00 00"
"00:51:15.996";"282";"Std";"";"00 00 00 00 DC 00 D8 00"
"00:51:15.997";"382";"Std";"";"01 00 01 00 4F 50 00 00"
"00:51:16.000";"482";"Std";"";"00 00 FC FF 00 00 1C 01"
"00:51:16.002";"183";"Std";"";"E7 00 BA 00 FB 00 03 00"
"00:51:16.003";"185";"Std";"";"DD B3 49 00 00 03 83 33"
"00:51:16.004";"283";"Std";"";"01 00 05 00 00 00 00 00"
"00:51:16.006";"383";"Std";"";"00 00 00 00 00 00 00 00"
"00:51:16.008";"483";"Std";"";"00 00 00 00 00 00 00 00"
"00:51:16.013";"285";"Std";"";"03 03 90 42 81 00 00 01"
"00:51:16.014";"2AD";"Std";"";"00 00 00 00 00 00 00 00"
"00:51:16.014";"1AE";"Std";"";"00 00 00 00 00"
"00:51:16.015";"2AE";"Std";"";"00 00 00 00 00 00 00 00"
"00:51:16.015";"4AE";"Std";"";"00 00 00 00 00 00 00 00"
"00:51:16.021";"80";"Std";"";""
"00:51:16.022";"18B";"Std";"";"01 00 00 00"
"00:51:16.022";"28B";"Std";"";"24 00 F1 FF 12 00 5D 00"
"00:51:16.022";"29B";"Std";"";"C0 FF BD FF BD FF BA FF"
"00:51:16.023";"1FB";"Std";"";"00 00 05 05 05 05 05 05"
"00:51:16.023";"385";"Std";"";"00 00 00 00 00 00 00 00"
"00:51:16.028";"189";"Std";"";"00 00 00 00 00 00 00 00"
"00:51:16.029";"18F";"Std";"";"00 20 05 00"
"00:51:16.031";"289";"Std";"";"00 00 00 00 C4 00 C1 00"
"00:51:16.031";"202";"Std";"";"00 00 00 00 D4 30 D4 30"
"00:51:16.032";"302";"Std";"";"00 00 4F 18 F4 01 00 00"
"00:51:16.032";"402";"Std";"";"00 00 00 00 00 00 00 00"
"00:51:16.033";"209";"Std";"";"00 00 00 00 D4 30 D4 30"
"00:51:16.033";"389";"Std";"";"01 00 01 00 4F 50 00 00"
"00:51:16.034";"309";"Std";"";"00 00 4F 18 2C 01 00 00"
"00:51:16.034";"485";"Std";"";"FA 01 FA 01 7E 02 00 00"
"00:51:16.035";"409";"Std";"";"00 00 00 00 00 00 00 00"
"00:51:16.035";"489";"Std";"";"00 00 FA FF 00 00 25 01"
"00:51:16.036";"204";"Std";"";"00 00 00 00 00 00 00 00"
"00:51:16.036";"304";"Std";"";"00 00 00 00 00 00 00 00"
"00:51:16.037";"20F";"Std";"";"00 04 04 04 01 00"
"00:51:16.037";"20B";"Std";"";"81 00 00 00"
"00:51:16.037";"18A";"Std";"";"D9 00 A9 00 D5 00 03 00"
"00:51:16.039";"28A";"Std";"";"07 00 01 00 00 00 00 00"
"00:51:16.040";"486";"Std";"";"38 00 00 00 A0 0A 00 00"
"00:51:16.041";"386";"Std";"";"0A 19 00 AA 80 02 80 02"
"00:51:16.042";"38A";"Std";"";"00 00 00 00 00 00 00 00"
"00:51:16.044";"48A";"Std";"";"00 00 00 00 00 40 00 00"
"00:51:16.046";"712";"Std";"";"05"
"00:51:16.048";"70B";"Std";"";"05"
"00:51:16.049";"70F";"Std";"";"05"
"00:51:16.052";"188";"Std";"";"00 02 00 00 00 02 01 4A"
"00:51:16.054";"1AD";"Std";"";"0C 00 01 01 05 01 01 00"
"00:51:16.055";"2AF";"Std";"";"00 00 00 00 00 00 00 00"
"00:51:16.056";"3AF";"Std";"";"00 00 00 00 00 00 00 00"
"00:51:16.064";"184";"Std";"";"00 00 00 00 00 00 0F 01"
"00:51:16.074";"284";"Std";"";"31 02 E0 27 4A 20 11 00"
"00:51:16.078";"3AD";"Std";"";"00 00 00 00 00 00 00 00"
"00:51:16.082";"22E";"Std";"";"1B 1A FF FF 00 07 07 00"
"00:51:16.082";"42E";"Std";"";"11 00 00 00 C0 78 00 09"
"00:51:16.083";"52E";"Std";"";"00 07 02 4E 00 BD 01 82"
"00:51:16.084";"384";"Std";"";"14 00 00 00 DF 01 E1 01"
"00:51:16.087";"24B";"Std";"";"00 00 00 00 00 00 00 00"
"00:51:16.087";"24A";"Std";"";"00 00 00 00 00 00 00 00"
"00:51:16.088";"24C";"Std";"";"00 00 00 00 00 00 00 00"
"00:51:16.090";"286";"Std";"";"7B 96 7A 7B 00 00 0C 00"
"00:51:16.090";"186";"Std";"";"04 00 42 01 2B 00 01 00"
